Месец,Број/Површина ( во m2 ),"Видови објекти од високоградба, број/површина ( во m2 )",value
2012М11,Број,122 Деловни згради,3
2012М11,Број,123 Згради во трговијата на големо и на мало,5
2012М11,Број,124 Згради за сообраќај и други комуникации,1
2012М11,Број,125 Индустриски згради и складишта,9
2012М11,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2012М11,Број,127 Други нестанбени згради,6
2012М12,Број,11 Станови во станбени објекти (згради),587
2012М12,Број,111 Станови во објекти (згради) со еден стан,71
2012М12,Број,112 Станови во објекти (згради) со два и повеќе стана,516
2012М12,Број,113 Станови на заедници,1
2012М12,Број,12 Нестанбени згради,37
2012М12,Број,122 Деловни згради,3
2012М12,Број,123 Згради во трговијата на големо и на мало,13
2012М12,Број,124 Згради за сообраќај и други комуникации,1
2012М12,Број,125 Индустриски згради и складишта,12
2012М12,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2012М12,Број,127 Други нестанбени згради,7
2013М01,Број,11 Станови во станбени објекти (згради),512
2013М01,Број,111 Станови во објекти (згради) со еден стан,51
2013М01,Број,112 Станови во објекти (згради) со два и повеќе стана,461
2013М01,Број,113 Станови на заедници,1
2013М01,Број,12 Нестанбени згради,25
2013М01,Број,122 Деловни згради,1
2013М01,Број,123 Згради во трговијата на големо и на мало,9
2013М01,Број,124 Згради за сообраќај и други комуникации,2
2013М01,Број,125 Индустриски згради и складишта,8
2013М01,Број,127 Други нестанбени згради,5
2013М02,Број,11 Станови во станбени објекти (згради),587
2013М02,Број,111 Станови во објекти (згради) со еден стан,62
2013М02,Број,112 Станови во објекти (згради) со два и повеќе стана,525
2013М02,Број,12 Нестанбени згради,37
2013М02,Број,121 Хотели и слични згради,2
2013М02,Број,123 Згради во трговијата на големо и на мало,9
2013М02,Број,124 Згради за сообраќај и други комуникации,2
2013М02,Број,125 Индустриски згради и складишта,16
2013М02,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3
2013М02,Број,127 Други нестанбени згради,5
2013М03,Број,11 Станови во станбени објекти (згради),589
